Brand;Type;Condition;Year of Production;Price (IDR-Million)
Toyota;Corolla;New;2020;450
Honda;Civic;New;2019;480
Ford;Ranger;New;2021;520
BMW;320i;New;2018;700
Mercedes-Benz;C-Class;New;2022;950
Tesla;Model 3;New;2021;1100
Volkswagen;Golf;New;2017;400
Mitsubishi;Pajero Sport;New;2020;600
Toyota;Camry;New;2021;800
Honda;CR-V;Secondhand;2022;550
Ford;Mustang;New;2019;1300
BMW;X5;New;2023;1400
Mercedes-Benz;E-Class;New;2020;1200
Tesla;Model S;New;2018;1500
Volkswagen;Tiguan;Secondhand;2021;650
Mitsubishi;Xpander;New;2019;300
Toyota;Fortuner;New;2022;650
Honda;HR-V;New;2021;375
Ford;Everest;New;2023;700
BMW;530i;Secondhand;2020;1100
Mercedes-Benz;GLC;New;2021;1000
Tesla;Model Y;New;2022;1200
Volkswagen;Passat;New;2018;600
Mitsubishi;Outlander;New;2021;550
Toyota;Yaris;New;2017;280
Honda;Accord;Secondhand;2020;750
Ford;Focus;New;2018;400
BMW;i4;New;2023;1300
Mercedes-Benz;A-Class;Secondhand;2019;700
Tesla;Model X;New;2022;1600
Toyota;Avanza;Secondhand;2020;300
